attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame
1,1.3335166329611068,4.500618636243735,40,135,2.3669920235059645,71
2,6.100838595797064,8.967899356663443,183,269,7.100976070517894,213
3,9.86802308391219,12.935111339722736,296,388,10.834822642808993,325
4,13.30182841378704,16.73563374366189,399,502,14.401979635979954,432
5,17.60241955508661,20.6028319792491,528,618,18.669232861455495,560
6,23.703258150883673,27.03704973328644,711,811,24.703395625604504,741
7,28.103863039655327,31.437654622058094,843,943,29.50405550426449,885
8,33.237902076555585,36.33832824819016,997,1090,34.47140496204461,1034
9,38.00522403939154,42.272477264867085,1140,1268,39.17205109323251,1175
10,45.10620010990944,48.573343355608316,1353,1457,46.23968924792638,1387
11,51.37372828482664,54.44081654063719,1541,1633,52.37386575954747,1571
12,58.54138018699259,61.908509685219386,1756,1857,59.70820724083356,1791
13,63.3753779814766,66.17576291069493,1901,1985,64.50886711949354,1935
14,68.20937577596061,71.4431536108913,2046,2143,69.30952699815353,2079
15,73.54344230780504,76.41050306867142,2206,2292,74.61025561417392,2238
16,78.14407469152086,80.94445962073918,2344,2428,79.17755008206572,2375
17,82.87805873853279,85.94514699434333,2486,2578,84.07822370819778,2522
18,87.51202903807263,90.379089798939,2625,2711,88.47882859696944,2654
19,91.71260643190011,95.5464667516633,2751,2866,93.81289512881386,2814
20,96.77996963715232,100.28045079867523,2903,3008,97.98013460681732,2939
21,102.01402242152467,104.91442109821507,3060,3147,103.18084947536563,3095
22,105.98123440458396,109.24835015533867,3179,3277,107.28141312172104,3218
23,110.4818530408277,114.8157820979513,3314,3444,112.7821692326856,3383
24,115.98260915179226,119.28306281837101,3479,3578,117.38280161640142,3521
25,120.68325528298017,124.85049476098362,3620,3745,122.58351648494974,3677
26,125.85063223570445,128.917720491515,3775,3867,127.2174867844896,3816
27,129.18442381810723,132.81825664292623,3875,3984,131.05134710425278,3931
28,133.71838037017497,136.88548237345762,4011,4106,135.11857283478415,4053
29,138.58571608048302,141.38610100970135,4157,4241,139.55251563937983,4186
30,143.45305179079105,146.82018128901785,4303,4404,144.65321676045605,4339
31,147.8536566795627,151.0874345144934,4435,4532,149.0204837334037,4470
32,152.95435780063895,155.72140481403324,4588,4671,153.92115735953575,4617
33,159.1552101439081,162.9223946320232,4774,4887,160.92211968258155,4827
34,165.72277956124154,169.08990905946834,4971,5072,166.82293078343446,5004
35,173.35716228494388,176.05753346669013,5200,5281,174.42397559131277,5232
36,177.42438801547524,180.42480043963775,5322,5412,178.35784965854802,5350
37,185.45882572906592,188.52591398487647,5563,5655,186.92569402532314,5607
38,192.32643638881564,195.193497149682,5769,5855,193.4932634426566,5804
39,196.8937308567074,199.96081911251795,5906,5998,197.9272062472523,5937
40,201.9610940619596,204.92816857029808,6058,6147,203.0279073683285,6090
41,205.62826480260267,209.4287872065418,6168,6282,207.26182267798004,6217
42,210.69562800785488,214.66283999091416,6320,6439,212.39586171488028,6371
43,219.33014820627804,222.49725020956066,6579,6674,220.496975260119,6614
44,223.66407726340162,226.93119301415635,6709,6807,224.76422848559454,6742
45,228.4647371420616,231.96521830358452,6853,6958,229.7649158591987,6892
46,235.59905112840354,238.83282896333424,7067,7164,236.73254026642047,7101
47,241.59987597672853,245.03368130660337,7247,7350,242.86671677804156,7285
48,245.9338050338521,249.36761036372698,7377,7480,247.000618340221,7409
