attempt_number,attempt_start_time,attempt_end_time,attempt_start_frame,attempt_end_frame,cross_time,cross_frame,ground_truth_block_drop,is_flagged,reason_for_flag
1.0,2.6026,5.538866666666666,78.0,166.0,3.5035000000000003,105.0,1.0,0.0,
2.0,6.239566666666667,9.442766666666667,187.0,283.0,7.040366666666666,211.0,1.0,0.0,
3.0,9.642966666666666,11.978633333333333,289.0,359.0,10.276933333333334,308.0,1.0,0.0,
4.0,14.047366666666669,16.483133333333335,421.0,494.0,14.781433333333334,443.0,1.0,0.0,
5.0,18.8188,21.454766666666668,564.0,643.0,19.4194,582.0,1.0,0.0,
6.0,22.555866666666667,24.858166666666666,676.0,745.0,23.456766666666667,703.0,1.0,0.0,
7.0,26.7267,28.9289,801.0,867.0,27.1271,813.0,1.0,0.0,
8.0,30.663966666666667,33.1331,919.0,993.0,31.464766666666662,943.0,1.0,0.0,
9.0,36.603233333333336,38.90553333333333,1097.0,1166.0,37.47076666666667,1123.0,1.0,0.0,
10.0,41.80843333333333,43.977266666666665,1253.0,1318.0,42.609233333333336,1277.0,1.0,0.0,
11.0,47.68096666666667,49.88316666666667,1429.0,1495.0,48.4484,1452.0,1.0,0.0,
12.0,51.718333333333334,54.1541,1550.0,1623.0,52.48576666666667,1573.0,1.0,0.0,
13.0,56.723333333333336,58.8588,1700.0,1764.0,57.4574,1722.0,1.0,0.0,
14.0,60.927533333333336,63.39666666666667,1826.0,1900.0,61.694966666666666,1849.0,1.0,0.0,
15.0,65.63223333333333,67.9679,1967.0,2037.0,66.43303333333334,1991.0,1.0,0.0,
16.0,70.9709,74.94153333333334,2127.0,2246.0,72.7727,2181.0,1.0,0.0,
17.0,77.21046666666666,79.2792,2314.0,2376.0,77.87780000000001,2334.0,1.0,0.0,
18.0,80.74733333333333,83.81706666666666,2420.0,2512.0,81.44803333333333,2441.0,1.0,0.0,
19.0,85.81906666666667,88.08800000000001,2572.0,2640.0,86.55313333333334,2594.0,1.0,0.0,
20.0,89.1891,91.65823333333331,2673.0,2747.0,89.95653333333334,2696.0,1.0,0.0,
21.0,93.32656666666666,95.72896666666666,2797.0,2869.0,94.02726666666666,2818.0,1.0,0.0,
22.0,97.43066666666668,100.8007,2920.0,3021.0,98.098,2940.0,1.0,0.0,
23.0,102.2021,104.57113333333334,3063.0,3134.0,102.86943333333332,3083.0,1.0,0.0,
24.0,107.107,109.87643333333334,3210.0,3293.0,107.84106666666666,3232.0,1.0,0.0,
25.0,111.07763333333334,113.64686666666668,3329.0,3406.0,112.0119,3357.0,1.0,0.0,
26.0,115.98253333333334,118.08463333333331,3476.0,3539.0,116.74996666666668,3499.0,1.0,0.0,
27.0,120.28683333333332,122.75596666666668,3605.0,3679.0,121.05426666666666,3628.0,1.0,0.0,
28.0,123.99053333333332,126.05926666666667,3716.0,3778.0,124.65786666666666,3736.0,1.0,0.0,
29.0,130.46366666666668,132.76596666666666,3910.0,3979.0,131.39793333333333,3938.0,1.0,0.0,
30.0,136.8367,139.97316666666666,4101.0,4195.0,137.47066666666666,4120.0,1.0,0.0,
31.0,142.8427,145.31183333333334,4281.0,4355.0,143.5434,4302.0,1.0,0.0,
32.0,146.21273333333335,148.38156666666666,4382.0,4447.0,146.88006666666666,4402.0,1.0,0.0,
33.0,150.61713333333333,153.11963333333333,4514.0,4589.0,151.3512,4536.0,1.0,0.0,
34.0,155.75560000000002,161.39456666666666,4668.0,4837.0,159.52603333333334,4781.0,1.0,0.0,
35.0,163.63013333333333,166.03253333333333,4904.0,4976.0,164.5644,4932.0,1.0,0.0,
36.0,168.53503333333333,170.7706,5051.0,5118.0,169.43593333333334,5078.0,1.0,0.0,
37.0,172.30546666666666,174.97480000000002,5164.0,5244.0,173.10626666666667,5188.0,1.0,0.0,
38.0,175.9758,178.2781,5274.0,5343.0,176.64313333333334,5294.0,1.0,0.0,
39.0,182.41556666666668,184.7846,5467.0,5538.0,183.2831,5493.0,1.0,0.0,
40.0,186.31946666666667,189.2891,5584.0,5673.0,187.25373333333337,5612.0,1.0,0.0,
41.0,191.5914,194.7946,5742.0,5838.0,192.42556666666667,5767.0,1.0,0.0,
42.0,196.12926666666667,198.56503333333333,5878.0,5951.0,196.86333333333337,5900.0,1.0,0.0,
43.0,199.63276666666667,206.1059,5983.0,6177.0,204.33746666666667,6124.0,1.0,0.0,
44.0,208.14126666666667,210.4102,6238.0,6306.0,209.0088,6264.0,1.0,0.0,
45.0,213.44656666666668,215.6154,6397.0,6462.0,214.04716666666667,6415.0,1.0,0.0,
46.0,217.48393333333337,220.75386666666668,6518.0,6616.0,218.05116666666663,6535.0,1.0,0.0,
47.0,222.15526666666668,224.69113333333337,6658.0,6734.0,222.98943333333332,6683.0,1.0,0.0,
48.0,225.8256,228.16126666666668,6768.0,6838.0,226.4262,6786.0,1.0,0.0,
49.0,228.9287,231.0641666666667,6861.0,6925.0,229.69613333333336,6884.0,1.0,0.0,
50.0,232.2653666666667,236.5363,6961.0,7089.0,235.16826666666668,7048.0,1.0,0.0,
51.0,238.80523333333335,241.1409,7157.0,7227.0,239.4392,7176.0,1.0,0.0,
52.0,243.3431,245.7455,7293.0,7365.0,243.9437,7311.0,0.0,0.0,
